,X,isolate,b,Tmin,Clade,mean_LOG10Q0,sd_LOG10Q0,mean_Nmax,sd_Nmax
1,1,125,0.303807649,9.222497057,I,-6.134852906,4.551708569,5.819007052,0.492005858
2,2,193,0.167684836,6.789088467,II,-3.30171339,1.657155448,6.484562279,0.686567774
3,3,194,0.214671186,6.888190674,VII,-6.257816164,3.557058622,6.678335261,0.064574285
4,4,402,0.129340496,4.255240669,IV,-8.715571489,12.11220924,6.367211234,0.935690456
5,5,407,0.149200698,6.714183463,IV,-2.552639999,1.981538838,6.423823436,0.696588839
6,6,413,0.127599921,4.879842464,IV,-1.884094524,1.020501822,7.101203975,0.452868035
7,7,433,0.115296251,5.825111386,IV,-2.58686863,1.019410587,6.814132652,0.823670199
8,8,457,0.135980973,5.881388128,II,-3.097912276,2.254782784,6.238426444,0.175006203
9,9,474,0.149022698,6.409396003,III,-2.762046112,2.03892638,6.409351826,0.984224291
10,10,495,0.167994703,6.792276358,IV,-2.64204644,1.489887621,6.741273905,0.333432098
11,11,518,0.200144902,6.860083437,II,-4.616311794,4.684590998,6.753845615,0.159287498
12,12,536,0.213342105,7.06256983,VII,-5.524431293,7.227533411,6.566761549,0.260736823
13,13,564,0.197437842,6.276245763,II,-3.976012807,1.896767314,6.694987416,0.160927098
14,14,570,0.135195023,5.418058505,V,-2.072240152,0.958242388,6.904308867,0.354491885
15,15,638,0.153815945,5.52250749,V,-2.374140622,2.32047033,6.545688466,0.74868453
16,16,649,0.149130712,6.458382983,IV,-2.312195649,1.094028402,6.61943029,0.423845812
